covariation cut 0
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      400       |   5.534e-06    |    0.00187     |   3.632e-06    |    0.05125     |     17.32      |    0.03364     |    -0.02631    |    0.004887    
|      450       |   8.628e-06    |    0.002304    |   0.0008466    |    0.07991     |     21.34      |      7.84      |   -0.007552    |    0.007729    
|      500       |   7.497e-06    |    0.002205    |   0.0001795    |    0.06943     |     20.42      |     1.663      |    -0.01308    |    0.006602    
|      550       |   6.194e-06    |    0.001998    |    0.000342    |    0.05737     |      18.5      |     3.168      |    -0.01961    |    0.005357    
|      600       |   9.031e-06    |    0.002443    |   0.0006931    |    0.08364     |     22.62      |     6.418      |    -0.01079    |    0.007966    
covariation cut 4
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      100       |   5.869e-06    |    0.001858    |    0.00059     |    0.05435     |     17.21      |     5.464      |    -0.03927    |    0.005091    
|      150       |   5.601e-06    |    0.001854    |   0.0005078    |    0.05187     |     17.17      |     4.702      |    -0.03329    |    0.004971    
|      200       |   6.093e-06    |    0.001982    |   0.0008215    |    0.05643     |     18.36      |     7.608      |    -0.02963    |    0.005468    
|      250       |    7.99e-06    |    0.002265    |   0.0006043    |     0.074      |     20.97      |     5.597      |    -0.0236     |    0.006956    
|      300       |    7.26e-06    |    0.002103    |   0.0007843    |    0.06724     |     19.47      |     7.264      |    -0.01824    |    0.006408    
|      350       |   8.525e-06    |    0.002318    |    0.001265    |    0.07895     |     21.46      |     11.71      |    -0.01856    |    0.007291    
|      400       |   7.508e-06    |    0.002224    |   0.0005365    |    0.06953     |     20.59      |     4.969      |    -0.02144    |    0.006656    
|      450       |   7.789e-06    |    0.002252    |   0.0006274    |    0.07214     |     20.86      |      5.81      |    -0.01678    |    0.006879    
|      500       |    7.73e-06    |    0.002222    |    0.001014    |    0.07158     |     20.58      |     9.386      |    -0.01767    |    0.006941    
|      550       |    9.38e-06    |    0.002452    |   0.0009769    |    0.08686     |     22.71      |     9.047      |    -0.01268    |    0.008319    
|      600       |   9.125e-06    |    0.002402    |   0.0008879    |     0.0845     |     22.24      |     8.223      |   -0.009351    |     0.008      
covariation cut 5
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      100       |   6.357e-06    |    0.001931    |    0.000784    |     0.1894     |     57.53      |     23.36      |    -0.0466     |    0.005871    
|      150       |   6.154e-06    |    0.001976    |   0.0007916    |     0.057      |      18.3      |     7.331      |    -0.03375    |    0.005351    
|      200       |   7.771e-06    |    0.00223     |   0.0008212    |     0.2315     |     66.45      |     24.46      |    -0.03303    |    0.007215    
|      250       |   8.373e-06    |    0.002285    |   0.0005149    |     0.2495     |     68.07      |     15.34      |    -0.03111    |    0.007789    
|      300       |   7.934e-06    |    0.00228     |    0.001097    |     0.2364     |     67.92      |     32.67      |    -0.03094    |    0.007328    
|      350       |   8.836e-06    |    0.002333    |    0.001101    |     0.2632     |     69.51      |     32.81      |    -0.01853    |    0.008133    
|      400       |   1.177e-05    |    0.002746    |    0.001545    |     0.3506     |      81.8      |     46.03      |    -0.02025    |    0.01095     
|      450       |   9.976e-06    |    0.002528    |    0.001208    |     0.2972     |     75.31      |     35.98      |    -0.01803    |    0.009317    
|      500       |   8.561e-06    |    0.002354    |    0.001083    |     0.255      |     70.12      |     32.26      |    -0.02109    |    0.007891    
|      550       |   1.106e-05    |    0.002683    |   0.0009028    |     0.3294     |     79.94      |     26.89      |    -0.01786    |     0.0102     
|      600       |   8.585e-06    |    0.002349    |   0.0007978    |     0.2558     |     69.99      |     23.77      |    -0.02251    |    0.007966    
